FID,TANKID,Include,Sex,Diet,P,L,E,P_L,Tank,Family,Wet_wt,Dry_wt,Fat_free_wt,Ashed_wt,Fat,Protein,Pwater,Pfat,Pash,Pprotein,Energy_fat,Energy_protein,Total_energy,P_F,Diff_P_F,Testes_wt,Wt_body,Sperm_y,P_end
MT116,O12S,y,f,4,33.2,3.9,17.5,8.512820513,O12,f105,0.5217,0.1566,0.1365,0.0356,0.0201,0.101,70,12.8,22.71,64.48,0.79,2.39,3.187823774,5.024875622,-3.487944891,NA,0.63,n,y
MT082,O13L,y,m,3,51.6,20.5,22.2,2.517073171,O13,f112,1.6864,0.6636,0.3769,0.0813,0.2867,0.2956,60.6,43.2,12.25,44.55,11.35,7.01,18.35782539,1.031042902,-1.486030269,0.0094,1.84,y,y
MT084,O13M,y,m,3,51.6,20.5,22.2,2.517073171,O13,f108,1.5119,0.5792,0.3523,0.0765,0.2269,0.2758,61.7,39.2,13.2,47.62,8.99,6.54,15.52269395,1.215513442,-1.301559729,0.0066,1.7,y,y
MT083,O13S,y,m,3,51.6,20.5,22.2,2.517073171,O13,f109,1.3218,0.467,0.2837,0.0552,0.1833,0.2285,64.7,39.2,11.82,48.93,7.26,5.42,12.67349341,1.246590289,-1.270482882,0.0042,1.52,y,y
MT118,O14L,y,f,2,59.3,13,20.2,4.561538462,O14,f107,1.2513,0.4187,0.3055,0.0715,0.1132,0.234,66.5,27,17.07,55.88,4.48,5.55,10.02957744,2.067137809,-2.494400653,NA,1.39,n,y
MT119,O14M,y,f,2,59.3,13,20.2,4.561538462,O14,f105,0.5692,0.1655,0.14,0.0283,0.0255,0.1117,70.9,15.4,17.12,67.49,1.01,2.65,3.655619851,4.380392157,-0.181146305,NA,0.7,n,y
MT120,O14S,y,f,2,59.3,13,20.2,4.561538462,O14,f112,0.5385,0.1533,0.1336,0.0451,0.0197,0.0885,71.5,12.8,29.45,57.71,0.78,2.1,2.876155553,4.492385787,-0.069152675,NA,0.64,n,y
MT139,O15L,y,m,1,67.5,6.6,19.3,10.22727273,O15,f106,1.9092,0.6561,0.467,0.0998,0.1891,0.3673,65.6,28.8,15.2,55.98,7.49,8.7,16.19164649,1.94235854,-8.284914187,NA,2.15,n,y
MT141,O15M,y,m,1,67.5,6.6,19.3,10.22727273,O15,f105,0.7967,0.2475,0.1836,0.0292,0.0639,0.1544,68.9,25.8,11.78,62.38,2.53,3.66,6.191418665,2.41627543,-7.810997297,0.0056,0.91,y,y
MT140,O15S,y,m,1,67.5,6.6,19.3,10.22727273,O15,f107,0.7659,0.2351,0.1772,0.0432,0.0579,0.1341,69.3,24.6,18.36,57.04,2.29,3.18,5.46888017,2.316062176,-7.911210551,0.0057,0.87,y,y
MT053,O1L,y,m,5,31.2,19.2,21.5,1.625,O1,f107,1.0629,0.4031,0.2386,0.047,0.1645,0.1916,62.1,40.8,11.66,47.52,6.52,4.54,11.0549649,1.164741641,-0.460258359,0.016,1.18,y,y
MT052,O1M,y,m,5,31.2,19.2,21.5,1.625,O1,f115,0.9023,0.2854,0.194,0.034,0.0914,0.16,68.4,32,11.91,56.06,3.62,3.79,7.411261018,1.750547046,0.125547046,0.0104,1.01,y,y
MT113,O10M,y,f,5,31.2,19.2,21.5,1.625,O10,f105,1.103,0.3388,0.2402,0.0505,0.0986,0.1897,69.3,29.1,14.91,55.98,3.9,4.5,8.399622293,1.923935091,0.298935091,NA,1.27,n,y
MT054,O1S,y,m,5,31.2,19.2,21.5,1.625,O1,f106,0.3364,0.1144,0.0844,0.0211,0.03,0.0634,66,26.2,18.43,55.38,1.19,1.5,2.687976296,2.113333333,0.488333333,0.005,0.37,n,y
MT055,O2L,y,f,4,33.2,3.9,17.5,8.512820513,O2,f102,0.7721,0.2119,0.197,0.0502,0.0149,0.1468,72.6,7,23.7,69.27,0.59,3.48,4.068823791,9.852348993,1.33952848,NA,0.87,n,y
MT056,O2M,y,f,4,33.2,3.9,17.5,8.512820513,O2,f115,0.6481,0.181,0.1472,0.0245,0.0338,0.1227,72.1,18.7,13.53,67.8,1.34,2.91,4.246721353,3.630177515,-4.882642998,NA,0.72,n,y
MT057,O2S,y,f,4,33.2,3.9,17.5,8.512820513,O2,f105,0.538,0.1621,0.1393,0.0398,0.0228,0.0996,69.9,14,24.53,61.42,0.9,2.36,3.261306292,4.368421053,-4.14439946,NA,0.61,n,y
MT062,O3L,y,m,3,51.6,20.5,22.2,2.517073171,O3,f107,1.6613,0.6356,0.3699,0.069,0.2657,0.3009,61.7,41.8,10.85,47.35,10.52,7.13,17.65386617,1.132480241,-1.38459293,0.0041,1.78,y,y
MT061,O3M,y,m,3,51.6,20.5,22.2,2.517073171,O3,f115,1.4801,0.4973,0.318,0.0703,0.1793,0.2477,66.4,36.1,14.14,49.8,7.1,5.87,12.97066261,1.381483547,-1.135589624,0.0059,1.61,y,y
MT063,O3S,y,m,3,51.6,20.5,22.2,2.517073171,O3,f106,0.3866,0.1178,0.0846,0.0137,0.0332,0.0708,69.5,28.2,11.67,60.14,1.32,1.68,2.994146882,2.13253012,-0.384543051,0.0035,0.46,y,y
MT066,O4L,y,f,2,59.3,13,20.2,4.561538462,O4,f102,1.2406,0.4266,0.2882,0.0703,0.1384,0.2179,65.6,32.5,16.47,51.08,5.48,5.16,10.64626513,1.574421965,-2.987116497,NA,1.35,n,y
MT064,O4M,y,f,2,59.3,13,20.2,4.561538462,O4,f115,0.8868,0.2511,0.2078,0.0556,0.0433,0.1522,71.7,17.2,22.14,60.61,1.71,3.61,5.321660652,3.515011547,-1.046526915,NA,0.99,n,y
MT133,O5L,y,m,1,67.5,6.6,19.3,10.22727273,O5,f106,0.708,0.1921,0.1677,0.0429,0.0244,0.1248,72.9,12.7,22.34,64.96,0.97,2.96,3.923270789,5.114754098,-5.112518629,NA,0.77,n,y
